iter	Passed	Remaining
411	3491	4983
412	3499	4973
413	3506	4963
414	3514	4954
415	3522	4945
416	3530	4935
417	3537	4925
418	3544	4914
419	3551	4904
420	3559	4895
421	3566	4885
422	3574	4875
423	3581	4864
424	3588	4854
425	3596	4845
426	3604	4836
427	3611	4826
428	3618	4815
429	3625	4806
430	3633	4796
431	3640	4787
432	3649	4778
433	3656	4768
434	3663	4758
435	3670	4748
436	3678	4739
437	3686	4729
438	3693	4720
439	3700	4710
440	3707	4699
441	3714	4689
442	3722	4680
443	3730	4671
444	3738	4662
445	3745	4652
446	3752	4641
447	3759	4632
448	3767	4622
449	3774	4613
450	3781	4603
451	3788	4593
452	3797	4585
453	3804	4576
454	3812	4566
455	3819	4556
456	3826	4546
457	3834	4537
458	3842	4528
459	3849	4518
460	3856	4508
461	3863	4498
462	3871	4490
463	3879	4481
464	3886	4471
465	3895	4463
466	3902	4454
467	3909	4444
468	3916	4434
469	3923	4424
470	3932	4416
471	3940	4407
472	3948	4398
473	3955	4389
474	3962	4379
475	3969	4369
476	3978	4362
477	3987	4354
478	3997	4348
479	4007	4341
480	4015	4332
481	4021	4322
482	4028	4312
483	4036	4302
484	4044	4294
485	4052	4285
486	4060	4277
487	4067	4267
488	4075	4258
489	4082	4248
490	4089	4239
491	4096	4229
492	4105	4222
493	4112	4212
494	4120	4203
495	4127	4194
496	4134	4184
497	4142	4175
498	4150	4167
499	4158	4158
500	4166	4149
501	4174	4140
502	4185	4135
503	4193	4126
504	4201	4118
505	4210	4110
506	4218	4102
507	4225	4092
508	4232	4083
509	4240	4073
510	4247	4064
511	4254	4055
512	4262	4046
513	4270	4037
514	4279	4029
515	4286	4021
516	4295	4012
517	4303	4004
518	4317	4001
519	4324	3991
520	4332	3983
521	4340	3974
522	4348	3965
523	4355	3956
524	4362	3947
525	4369	3937
526	4376	3928
527	4383	3918
528	4390	3909
529	4398	3900
530	4405	3891
531	4414	3883
532	4421	3874
533	4429	3865
534	4437	3856
535	4445	3848
536	4452	3839
537	4460	3830
538	4467	3821
539	4475	3812
540	4482	3802
541	4488	3793
542	4495	3783
543	4503	3774
544	4510	3765
545	4517	3756
546	4524	3747
547	4532	3738
548	4540	3730
549	4548	3721
550	4555	3712
551	4561	3702
552	4569	3693
553	4576	3684
554	4582	3674
555	4590	3665
556	4596	3656
557	4603	3646
558	4611	3638
559	4619	3629
560	4625	3619
561	4632	3610
562	4640	3601
563	4647	3592
564	4653	3583
565	4660	3573
566	4668	3564
567	4676	3556
568	4684	3548
569	4692	3539
570	4699	3530
571	4706	3521
572	4712	3511
573	4718	3502
574	4725	3492
575	4731	3482
576	4737	3473
577	4744	3463
578	4750	3454
579	4757	3444
580	4764	3436
581	4770	3426
582	4777	3417
583	4783	3407
584	4789	3397
585	4796	3388
586	4802	3378
587	4808	3369
588	4815	3360
589	4821	3350
590	4828	3341
591	4834	3331
592	4840	3322
593	4846	3312
594	4852	3303
595	4859	3294
596	4865	3284
597	4872	3275
598	4879	3266
599	4886	3257
600	4892	3248
601	4898	3238
602	4905	3229
603	4911	3219
604	4917	3210
605	4924	3201
606	4930	3192
607	4937	3183
608	4944	3174
609	4950	3165
610	4957	3156
611	4964	3147
612	4970	3138
613	4977	3128
614	4982	3119
615	4988	3109
616	4993	3099
617	4999	3090
618	5004	3080
619	5010	3071
620	5017	3062
621	5023	3052
622	5029	3043
623	5035	3034
624	5041	3025
625	5047	3015
626	5053	3006
627	5060	2997
628	5066	2988
629	5072	2979
630	5078	2969
631	5084	2960
632	5091	2951
633	5097	2942
634	5104	2934
635	5111	2925
636	5118	2916
637	5124	2907
638	5132	2899
639	5139	2890
640	5146	2882
641	5153	2873
642	5160	2865
643	5167	2856
644	5173	2847
645	5180	2838
646	5188	2830
647	5194	2821
648	5201	2813
649	5208	2804
650	5215	2796
651	5221	2787
652	5228	2778
653	5234	2769
654	5240	2760
655	5246	2751
656	5253	2742
657	5259	2733
658	5266	2725
659	5272	2716
660	5279	2707
661	5285	2698
662	5291	2689
663	5297	2680
664	5303	2671
665	5310	2663
666	5316	2654
667	5323	2645
668	5329	2636
669	5335	2628
670	5341	2619
671	5348	2610
672	5354	2601
673	5361	2593
674	5368	2584
675	5374	2576
676	5381	2567
677	5388	2559
678	5395	2550
679	5401	2541
680	5406	2532
681	5413	2523
682	5419	2515
683	5424	2506
684	5430	2497
685	5437	2488
686	5443	2480
687	5449	2471
688	5455	2462
689	5461	2453
690	5466	2444
691	5474	2436
692	5482	2428
693	5489	2420
694	5497	2412
695	5504	2404
696	5509	2395
697	5515	2386
698	5521	2377
699	5527	2368
700	5533	2360
701	5540	2351
702	5545	2342
703	5551	2334
704	5557	2325
705	5563	2316
706	5570	2308
707	5576	2299
708	5583	2291
709	5589	2282
710	5595	2274
711	5601	2265
712	5607	2257
713	5613	2248
714	5619	2239
715	5625	2231
716	5631	2222
717	5637	2214
718	5644	2205
719	5650	2197
720	5656	2188
721	5662	2180
722	5668	2171
723	5674	2163
724	5680	2154
725	5686	2146
726	5692	2137
727	5698	2129
728	5704	2120
729	5711	2112
730	5717	2103
731	5723	2095
732	5730	2087
733	5736	2078
734	5742	2070
735	5748	2061
736	5754	2053
737	5760	2045
738	5766	2036
739	5772	2028
740	5777	2019
741	5783	2011
742	5789	2002
743	5796	1994
744	5801	1985
745	5807	1977
746	5813	1968
747	5819	1960
748	5824	1951
749	5830	1943
750	5835	1934
751	5841	1926
752	5846	1917
753	5852	1909
754	5858	1901
755	5863	1892
756	5869	1884
757	5875	1875
758	5881	1867
759	5887	1859
760	5894	1851
761	5900	1842
762	5907	1834
763	5913	1826
764	5920	1818
765	5926	1810
766	5932	1802
767	5939	1794
768	5945	1785
769	5952	1777
770	5958	1769
771	5965	1761
772	5971	1753
773	5979	1745
774	5985	1737
775	5991	1729
776	5997	1721
777	6003	1713
778	6009	1704
779	6015	1696
780	6022	1688
781	6029	1680
782	6036	1672
783	6042	1664
784	6048	1656
785	6055	1648
786	6061	1640
787	6068	1632
788	6074	1624
789	6080	1616
790	6086	1608
791	6093	1600
792	6099	1592
793	6106	1584
794	6114	1576
795	6121	1568
796	6128	1560
797	6135	1553
798	6141	1545
799	6149	1537
800	6156	1529
801	6163	1521
802	6171	1514
803	6178	1506
804	6185	1498
805	6209	1494
806	6217	1486
807	6223	1478
808	6229	1470
809	6236	1462
810	6242	1454
811	6249	1446
812	6255	1438
813	6262	1431
814	6269	1423
815	6275	1415
816	6282	1407
817	6288	1399
818	6295	1391
819	6302	1383
820	6308	1375
821	6315	1367
822	6321	1359
823	6327	1351
824	6335	1343
825	6342	1336
826	6349	1328
827	6355	1320
828	6364	1312
829	6371	1305
830	6379	1297
831	6387	1289
832	6395	1282
833	6402	1274
834	6409	1266
835	6417	1258
836	6425	1251
837	6433	1243
838	6442	1236
839	6458	1230
840	6467	1222
841	6474	1214
842	6485	1207
843	6493	1200
844	6502	1192
845	6510	1185
846	6518	1177
847	6526	1169
848	6534	1162
849	6541	1154
850	6550	1146
851	6557	1139
852	6565	1131
853	6573	1123
854	6581	1116
855	6589	1108
856	6597	1100
857	6604	1093
858	6611	1085
859	6618	1077
860	6625	1069
861	6632	1061
862	6638	1053
863	6644	1045
864	6651	1038
865	6658	1030
866	6665	1022
867	6672	1014
868	6679	1006
869	6687	999
870	6693	991
871	6700	983
872	6706	975
873	6713	967
874	6719	959
875	6725	952
876	6732	944
877	6738	936
878	6746	928
879	6753	920
880	6759	913
881	6766	905
882	6772	897
883	6779	889
884	6785	881
885	6792	873
886	6799	866
887	6806	858
888	6812	850
889	6819	842
890	6826	835
891	6833	827
892	6840	819
893	6847	811
894	6853	804
895	6860	796
896	6868	788
897	6876	781
898	6884	773
899	6891	765
900	6898	757
901	6905	750
902	6911	742
903	6917	734
904	6923	726
905	6928	718
906	6934	710
907	6940	703
908	6946	695
909	6953	687
910	6959	679
911	6965	672
912	6972	664
913	6978	656
914	6985	648
915	6992	641
916	6999	633
917	7006	625
918	7012	618
919	7019	610
920	7026	602
921	7033	594
922	7039	587
923	7045	579
924	7051	571
925	7058	564
926	7064	556
927	7071	548
